scope,row_index,column,before,after,source
cell,859,descrizione,?,,nan_handler:placeholders
cell,866,descrizione,?,,nan_handler:placeholders
cell,905,descrizione, ,,nan_handler:placeholders
cell,954,descrizione,-,,nan_handler:placeholders
cell,955,descrizione,n.d.,,nan_handler:placeholders
cell,988,descrizione,//,,nan_handler:placeholders
cell,1041,descrizione,ND,,nan_handler:placeholders
cell,1061,descrizione,-,,nan_handler:placeholders
cell,1093,descrizione,?,,nan_handler:placeholders
cell,1102,descrizione,n.d.,,nan_handler:placeholders
cell,1104,descrizione,?,,nan_handler:placeholders
cell,1122,descrizione,?,,nan_handler:placeholders
cell,1161,descrizione, ,,nan_handler:placeholders
cell,1217,descrizione,?,,nan_handler:placeholders
cell,1224,descrizione,//,,nan_handler:placeholders
cell,1269,descrizione,//,,nan_handler:placeholders
cell,1277,descrizione,-,,nan_handler:placeholders
cell,1308,descrizione,ND,,nan_handler:placeholders
cell,1371,descrizione,-,,nan_handler:placeholders
cell,1379,descrizione,?,,nan_handler:placeholders
cell,1388,descrizione,ND,,nan_handler:placeholders
cell,1415,descrizione,n.d.,,nan_handler:placeholders
cell,1438,descrizione,?,,nan_handler:placeholders
cell,1497,descrizione,?,,nan_handler:placeholders
cell,1507,descrizione, ,,nan_handler:placeholders
cell,1512,descrizione,n.d.,,nan_handler:placeholders
cell,1524,descrizione,unknown ,,nan_handler:placeholders
cell,1534,descrizione,unknown,,nan_handler:placeholders
cell,1565,descrizione,?,,nan_handler:placeholders
cell,1612,descrizione, ,,nan_handler:placeholders
cell,1634,descrizione,unknown,,nan_handler:placeholders
cell,1641,descrizione,?,,nan_handler:placeholders
cell,1731,descrizione,-,,nan_handler:placeholders
cell,1747,descrizione, ,,nan_handler:placeholders
cell,1757,descrizione, ,,nan_handler:placeholders
cell,1814,descrizione,unknown,,nan_handler:placeholders
cell,1815,descrizione,?,,nan_handler:placeholders
cell,1818,descrizione,n.d.,,nan_handler:placeholders
cell,1837,descrizione,//,,nan_handler:placeholders
cell,1902,descrizione,//,,nan_handler:placeholders
cell,1936,descrizione,?,,nan_handler:placeholders
cell,1950,descrizione,-,,nan_handler:placeholders
cell,1976,descrizione,//,,nan_handler:placeholders
cell,1984,descrizione,//,,nan_handler:placeholders
cell,2046,descrizione,unknown,,nan_handler:placeholders
cell,2111,descrizione,//,,nan_handler:placeholders
cell,2123,descrizione,//,,nan_handler:placeholders
cell,2128,descrizione, ,,nan_handler:placeholders
cell,2153,descrizione,-,,nan_handler:placeholders
cell,2161,descrizione,//,,nan_handler:placeholders
cell,2175,descrizione,?,,nan_handler:placeholders
cell,2181,descrizione, ,,nan_handler:placeholders
cell,2187,descrizione,n.d.,,nan_handler:placeholders
cell,2196,descrizione,unknown,,nan_handler:placeholders
cell,2202,descrizione,n.d.,,nan_handler:placeholders
cell,2286,descrizione,?,,nan_handler:placeholders
cell,2328,descrizione,?,,nan_handler:placeholders
cell,2351,descrizione,n.d.,,nan_handler:placeholders
cell,2356,descrizione,?,,nan_handler:placeholders
cell,2374,descrizione,//,,nan_handler:placeholders
cell,2425,descrizione, ,,nan_handler:placeholders
cell,2495,descrizione,unknown,,nan_handler:placeholders
cell,2583,descrizione, ,,nan_handler:placeholders
cell,2615,descrizione,ND,,nan_handler:placeholders
cell,2622,descrizione,unknown,,nan_handler:placeholders
cell,2624,descrizione,//,,nan_handler:placeholders
cell,2629,descrizione,//,,nan_handler:placeholders
cell,2648,descrizione,-,,nan_handler:placeholders
cell,2669,descrizione, ,,nan_handler:placeholders
cell,2708,descrizione,?,,nan_handler:placeholders
cell,2751,descrizione,n.d.,,nan_handler:placeholders
cell,2759,descrizione,unknown,,nan_handler:placeholders
cell,2783,descrizione,//,,nan_handler:placeholders
cell,2793,descrizione,ND,,nan_handler:placeholders
cell,2809,descrizione,ND,,nan_handler:placeholders
cell,2887,descrizione,n.d.,,nan_handler:placeholders
cell,2918,descrizione,n.d.,,nan_handler:placeholders
cell,2954,descrizione,ND,,nan_handler:placeholders
cell,2959,descrizione,-,,nan_handler:placeholders
cell,3017,descrizione,ND,,nan_handler:placeholders
cell,3065,descrizione,?,,nan_handler:placeholders
cell,3104,descrizione, ,,nan_handler:placeholders
cell,3109,descrizione,n.d.,,nan_handler:placeholders
cell,3152,descrizione,unknown,,nan_handler:placeholders
cell,3279,descrizione,-,,nan_handler:placeholders
cell,3312,descrizione,?,,nan_handler:placeholders
cell,3390,descrizione,?,,nan_handler:placeholders
cell,3420,descrizione,//,,nan_handler:placeholders
cell,3449,descrizione,//,,nan_handler:placeholders
cell,3476,descrizione,?,,nan_handler:placeholders
cell,3494,descrizione,unknown,,nan_handler:placeholders
cell,3512,descrizione,ND,,nan_handler:placeholders
cell,3561,descrizione, ,,nan_handler:placeholders
cell,3589,descrizione,ND,,nan_handler:placeholders
cell,3618,descrizione,n.d.,,nan_handler:placeholders
cell,3697,descrizione,?,,nan_handler:placeholders
cell,3704,descrizione,unknown,,nan_handler:placeholders
cell,3713,descrizione,n.d.,,nan_handler:placeholders
cell,3736,descrizione, ,,nan_handler:placeholders
cell,3759,descrizione,unknown,,nan_handler:placeholders
cell,3809,descrizione,unknown,,nan_handler:placeholders
cell,3811,descrizione,//,,nan_handler:placeholders
cell,3852,descrizione,ND,,nan_handler:placeholders
cell,3855,descrizione,-,,nan_handler:placeholders
cell,3881,descrizione,n.d.,,nan_handler:placeholders
cell,3884,descrizione,ND,,nan_handler:placeholders
cell,3906,descrizione,n.d.,,nan_handler:placeholders
cell,3922,descrizione,unknown,,nan_handler:placeholders
cell,3932,descrizione,-,,nan_handler:placeholders
cell,3938,descrizione, ,,nan_handler:placeholders
cell,3949,descrizione,?,,nan_handler:placeholders
cell,3966,descrizione,//,,nan_handler:placeholders
cell,3981,descrizione,ND,,nan_handler:placeholders
cell,4023,descrizione, ,,nan_handler:placeholders
cell,4099,descrizione,n.d.,,nan_handler:placeholders
cell,4109,descrizione,?,,nan_handler:placeholders
cell,4126,descrizione,n.d.,,nan_handler:placeholders
cell,4144,descrizione,? ,,nan_handler:placeholders
cell,4156,descrizione,//,,nan_handler:placeholders
cell,4224,descrizione,//,,nan_handler:placeholders
cell,4274,descrizione, ,,nan_handler:placeholders
cell,4302,descrizione,-,,nan_handler:placeholders
cell,4308,descrizione, ,,nan_handler:placeholders
cell,4313,descrizione,-,,nan_handler:placeholders
cell,4340,descrizione,ND,,nan_handler:placeholders
cell,4390,descrizione,n.d.,,nan_handler:placeholders
cell,4419,descrizione,unknown,,nan_handler:placeholders
cell,4445,descrizione,n.d.,,nan_handler:placeholders
cell,4451,descrizione,?,,nan_handler:placeholders
cell,4470,descrizione,//,,nan_handler:placeholders
cell,4567,descrizione,ND,,nan_handler:placeholders
cell,4597,descrizione,-,,nan_handler:placeholders
cell,4603,descrizione, ,,nan_handler:placeholders
cell,4620,descrizione,unknown,,nan_handler:placeholders
cell,4661,descrizione,ND,,nan_handler:placeholders
cell,4665,descrizione, ,,nan_handler:placeholders
cell,4675,descrizione,-,,nan_handler:placeholders
cell,4694,descrizione,unknown,,nan_handler:placeholders
cell,4711,descrizione,unknown,,nan_handler:placeholders
cell,4715,descrizione,?,,nan_handler:placeholders
cell,4724,descrizione,n.d.,,nan_handler:placeholders
cell,4733,descrizione,//,,nan_handler:placeholders
cell,4750,descrizione,ND,,nan_handler:placeholders
cell,4754,descrizione,unknown,,nan_handler:placeholders
cell,4771,descrizione,?,,nan_handler:placeholders
cell,4777,descrizione,-,,nan_handler:placeholders
cell,4787,descrizione,n.d.,,nan_handler:placeholders
cell,4790,descrizione,ND,,nan_handler:placeholders
cell,4813,descrizione,//,,nan_handler:placeholders
cell,4843,descrizione,?,,nan_handler:placeholders
cell,4854,descrizione,-,,nan_handler:placeholders
cell,4865,descrizione,?,,nan_handler:placeholders
cell,4879,descrizione,//,,nan_handler:placeholders
cell,4926,descrizione, ,,nan_handler:placeholders
cell,4943,descrizione,?,,nan_handler:placeholders
cell,4969,descrizione, ,,nan_handler:placeholders
cell,4970,descrizione,//,,nan_handler:placeholders
cell,4986,descrizione, ,,nan_handler:placeholders
cell,4987,descrizione,?,,nan_handler:placeholders
cell,5046,descrizione,ND,,nan_handler:placeholders
cell,5137,descrizione,?,,nan_handler:placeholders
cell,5156,descrizione,N/A ,,nan_handler:placeholders
cell,5178,descrizione,-,,nan_handler:placeholders
cell,5290,descrizione,//,,nan_handler:placeholders
cell,5307,descrizione,ND,,nan_handler:placeholders
cell,5340,descrizione,n.d.,,nan_handler:placeholders
cell,5351,descrizione,unknown,,nan_handler:placeholders
cell,5362,descrizione,ND,,nan_handler:placeholders
cell,5396,descrizione, ,,nan_handler:placeholders
cell,5425,descrizione,n.d.,,nan_handler:placeholders
cell,5509,descrizione, ,,nan_handler:placeholders
cell,5551,descrizione,-,,nan_handler:placeholders
cell,5555,descrizione,?,,nan_handler:placeholders
cell,5584,descrizione,ND,,nan_handler:placeholders
cell,5609,descrizione,-,,nan_handler:placeholders
cell,5618,descrizione,unknown,,nan_handler:placeholders
cell,5619,descrizione, ,,nan_handler:placeholders
cell,5628,descrizione,unknown,,nan_handler:placeholders
cell,5637,descrizione, ,,nan_handler:placeholders
cell,5688,descrizione,//,,nan_handler:placeholders
cell,5700,descrizione,-,,nan_handler:placeholders
cell,5730,descrizione,//,,nan_handler:placeholders
cell,5784,descrizione,unknown,,nan_handler:placeholders
cell,5787,descrizione,n.d.,,nan_handler:placeholders
cell,5795,descrizione,ND,,nan_handler:placeholders
cell,5813,descrizione, ,,nan_handler:placeholders
cell,5815,descrizione,n.d.,,nan_handler:placeholders
cell,5873,descrizione,//,,nan_handler:placeholders
cell,5941,descrizione,unknown,,nan_handler:placeholders
cell,5957,descrizione,ND,,nan_handler:placeholders
cell,5962,descrizione, ,,nan_handler:placeholders
cell,5964,descrizione,ND,,nan_handler:placeholders
cell,6036,descrizione,n.d.,,nan_handler:placeholders
cell,6065,descrizione,-,,nan_handler:placeholders
cell,6081,descrizione, ,,nan_handler:placeholders
cell,6124,descrizione,//,,nan_handler:placeholders
cell,6128,descrizione,ND,,nan_handler:placeholders
cell,6147,descrizione,-,,nan_handler:placeholders
cell,6150,descrizione,//,,nan_handler:placeholders
cell,6186,descrizione,//,,nan_handler:placeholders
cell,6188,descrizione,?,,nan_handler:placeholders
cell,6230,descrizione,n.d.,,nan_handler:placeholders
cell,6234,descrizione,unknown,,nan_handler:placeholders
cell,6387,descrizione,-,,nan_handler:placeholders
cell,6388,descrizione, ,,nan_handler:placeholders
cell,6399,descrizione,//,,nan_handler:placeholders
cell,6428,descrizione,unknown,,nan_handler:placeholders
cell,6430,descrizione,unknown,,nan_handler:placeholders
cell,6440,descrizione,//,,nan_handler:placeholders
cell,6530,descrizione,n.d.,,nan_handler:placeholders
