id,rata,descrizione,cod_tipoimposta,imposta,aggregation_time,area_geografica,tipo_imposta,spesa,cod_imposta,ente
668f34090377f62206882c10,202406,COMUNE DI CORLETO MONFORTE,3,Previdenziali a carico del lavoratore,2024-07-11 03:01:16.866,Nord,Previdenziali,694.58,14,831
66e0ee5bf458af54a5dbc78b,202408,AGENZIA ITALIANA DEL FARMACO - AIFA,3,Previdenziali a carico del lavoratore,2024-09-11 03:01:11.704,Isole,Previdenziali,163584.26,14,867
65ee5ac6f458af56cdec185c,202402,ENTE PARCO NAZIONALE DELLA MAJELLA,1,Netto,2024-03-11 02:01:04.421,,Netto,61184.89,15,938
663ec5f23f62190222cfb5e6,202404,PARCO DEL CIRCEO,3,Previdenziali a carico del lavoratore,2024-05-11 03:01:07.269,Centro,Previdenziali,539.46,14,970
671a780de28f8d6b0a19d278,202409,AUTORITA' UFFICIO PARLAMENTARE DI BILANCIO (UPB),3,Previdenziali a carico del datore di lavoro,2024-10-24 00:00:00.000,Centro,Previdenziali,306827.07,13,919
66e0ee64f458af54a5dbc7af,202408,C.N.E.L.- CONSIGLIO NAZIONALE DELL'ECONOMIA E DEL LAVORO,2,IRPEF,2024-09-11 03:01:11.704,Isole,Erariali,113315.2,5,16
66e0ee65f458af54a5dbc82b,202408,MINISTERO DELL'AMBIENTE E DELLA SICUREZZA ENERGETICA,4,Riscatti,2024-09-11 03:01:11.704,,Varie,1160.06,9,6
661738e4262bc367a23503fd,202403,REGIONE LAZIO,3,Previdenziali a carico del datore di lavoro,2024-04-11 03:00:48.766,Nord,Previdenziali,3780405.86,13,822
66bf60530377f64bd0cd2622,202407,CONSIGLIO DI STATO E T.A.R.,2,Addizionali Comunali,2024-08-16 16:11:01.334,Isole,Erariali,114799.1,8,17
6667a4b7262bc331bdcd0b71,202405,AGENZIA NAZIONALE PER I GIOVANI - ANG,2,Addizionali Comunali,2024-06-11 03:01:23.745,Centro,Erariali,756.6,8,27
66e0ee65f458af5423ceb5b3,202408,MINISTERO DEL TURISMO,4,Prestiti,2024-09-11 03:01:11.704,Nord,Varie,1132.88,11,44
671a7806e28f8d6b0a19d193,202409,ANBSC-AGENZIA NAZIONALE BENI SEQUESTRATI E CONFISCATI,3,Previdenziali a carico del datore di lavoro,2024-10-24 18:30:35.560,Centro,Previdenziali,144286.17,13,868
663ec5f33f62190222cfb697,202404,ENTE PARCO NAZIONALE DEL GRAN SASSO E MONTI DELLA LAGA,4,Riscatti,2024-05-11 03:01:07.269,Centro,Varie,49.43,9,945
